----------------------------------------------------------------------------------------------------------Begin-----------------------------------------------------------------------------------------------------------

|------------Text--------------|-----------Pattern------------|--------CorrectAnswer---------|-----naive_string_mather------|------rabin_karp_matcher------|---finite_automaton_matcher---|---------kmp_matcher----------|
__________________________________________________________________________________________________________________________________________________________________________________________________________________________

|                              |                              |no_positoin                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|                              |                              |no_positoin                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|                              |                              |occurence:3                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|                              |                              |occurence:2                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|ab                            |                              |occurence:2                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|                              |1                             |no_positoin                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|123                           |3                             |occurence:1                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|123321                        |233                           |occurence:1                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|abababacaba                   |ababca                        |no_positoin                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|abababacaba                   |ababaca                       |occurence:1                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|aaaaa                         |aaa                           |occurence:3                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|abaaacad                      |aacsa                         |no_positoin                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|abaaa                         |aaa                           |occurence:1                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|123456                        |56                            |occurence:1                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|adbacdfdqeqrhi                |adfewtwe                      |no_positoin                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|legth:35                      |3214                          |occurence:3                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|legth:38                      |3214                          |occurence:3                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|legth:57                      |)jfkl                         |occurence:2                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|legth:34                      |abcdefghijklmnopqrstuvwxyz    |occurence:1                   |pass                       0ms|pass                       0ms|pass                       1ms|pass                       0ms|
|legth:50                      |abcdefghijklmnopqrstuvwxyz    |occurence:1                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|legth:98                      |12345678901011                |occurence:1                   |pass                       0ms|pass                       0ms|pass                       0ms|pass                       0ms|
|legth:2485                    |legth:666                     |no_positoin                   |pass                       0ms|pass                       0ms|pass                       1ms|pass                       0ms|
|legth:61610                   |#asd1fdafs1                   |occurence:6                   |pass                       1ms|pass                       1ms|pass                       0ms|pass                       1ms|
|legth:24220                   |legth:180                     |occurence:4                   |pass                      26ms|pass                       1ms|pass                       0ms|pass                       1ms|
|legth:9664                    |legth:180                     |occurence:2                   |pass                      12ms|pass                       1ms|pass                       0ms|pass                       0ms|
|legth:127786                  |legth:181                     |occurence:12                  |pass                       2ms|pass                       3ms|pass                       1ms|pass                       1ms|

-----------------------------------------------------------------------------------------------------cost time:54 ms------------------------------------------------------------------------------------------------------
